Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,57,NA,NA,NA,1,0.078454,NA,NA,S_Lure_57.bmp,0,1,3
2,1,18,NA,NA,NA,1,1.9613,NA,NA,F_Lure_18.bmp,0,1,1
3,1,40,NA,NA,NA,1,0.54456,NA,NA,O_Image_40.bmp,1,1,2
4,1,5,NA,NA,NA,1,0.51923,NA,NA,F_Lure_5.bmp,0,0,1
5,1,57,NA,NA,NA,1,0.24064,NA,NA,S_Image_57.bmp,2,1,3
6,1,27,NA,NA,NA,1,0.23601,NA,NA,O_Lure_27.bmp,0,0,2
7,1,67,NA,NA,NA,1,0.31359,NA,NA,S_Lure_67.bmp,0,1,3
8,1,25,NA,NA,NA,1,0.23484,NA,NA,O_Lure_25.bmp,0,0,2
9,1,49,NA,NA,NA,1,0.60688,NA,NA,S_Lure_49.bmp,0,0,3
10,1,28,NA,NA,NA,1,0.13015,NA,NA,O_Lure_28.bmp,0,1,2
11,1,43,NA,NA,NA,1,0.24293,NA,NA,O_Lure_43.bmp,0,0,2
12,1,37,NA,NA,NA,1,0.25359,NA,NA,O_Image_37.bmp,2,1,2
13,1,30,NA,NA,NA,1,0.25433,NA,NA,O_Lure_30.bmp,0,0,2
14,1,61,NA,NA,NA,1,0.28173,NA,NA,S_Image_61.bmp,2,0,3
15,1,60,NA,NA,NA,1,0.25305,NA,NA,S_Lure_60.bmp,0,1,3
16,1,67,NA,NA,NA,1,0.17643,NA,NA,S_Image_67.bmp,2,1,3
17,1,24,NA,NA,NA,1,0.23061,NA,NA,F_Image_24.bmp,2,0,1
18,1,32,NA,NA,NA,1,0.20119,NA,NA,O_Image_32.bmp,1,0,2
19,1,44,NA,NA,NA,1,0.31796,NA,NA,O_Lure_44.bmp,0,1,2
20,1,65,NA,NA,NA,1,0.23937,NA,NA,S_Image_65.bmp,2,1,3
21,1,34,NA,NA,NA,1,0.21992,NA,NA,O_Lure_34.bmp,0,0,2
22,1,59,NA,NA,NA,1,0.29601,NA,NA,S_Lure_59.bmp,0,0,3
23,1,20,NA,NA,NA,1,0.68161,NA,NA,F_Lure_20.bmp,0,1,1
24,1,14,NA,NA,NA,1,0.20276,NA,NA,F_Image_14.bmp,1,0,1
25,1,45,NA,NA,NA,1,0.43948,NA,NA,O_Lure_45.bmp,0,1,2
26,1,15,NA,NA,NA,1,0.24328,NA,NA,F_Lure_15.bmp,0,0,1
27,1,20,NA,NA,NA,1,0.35081,NA,NA,F_Image_20.bmp,2,1,1
28,1,12,NA,NA,NA,1,0.20639,NA,NA,F_Image_12.bmp,2,0,1
29,1,4,NA,NA,NA,1,0.16958,NA,NA,F_Lure_4.bmp,0,1,1
30,1,62,NA,NA,NA,1,0.21636,NA,NA,S_Lure_62.bmp,0,0,3
31,1,7,NA,NA,NA,1,0.41302,NA,NA,F_Image_7.bmp,1,1,1
32,1,31,NA,NA,NA,1,0.4324,NA,NA,O_Image_31.bmp,2,1,2
33,1,13,NA,NA,NA,1,0.2918,NA,NA,F_Image_13.bmp,2,1,1
34,1,15,NA,NA,NA,1,0.32383,NA,NA,F_Image_15.bmp,2,0,1
35,1,10,NA,NA,NA,1,0.17782,NA,NA,F_Image_10.bmp,2,1,1
36,1,50,NA,NA,NA,1,0.30125,NA,NA,S_Image_50.bmp,2,1,3
37,1,45,NA,NA,NA,1,0.33186,NA,NA,O_Image_45.bmp,1,1,2
38,1,16,NA,NA,NA,1,0.26535,NA,NA,F_Lure_16.bmp,0,1,1
39,1,25,NA,NA,NA,1,0.70464,NA,NA,O_Image_25.bmp,2,0,2
40,1,62,NA,NA,NA,1,0.36804,NA,NA,S_Image_62.bmp,1,0,3
41,1,28,NA,NA,NA,1,0.21276,NA,NA,O_Image_28.bmp,1,1,2
42,1,38,NA,NA,NA,1,0.30217,NA,NA,O_Image_38.bmp,1,0,2
43,1,69,NA,NA,NA,1,0.49418,NA,NA,S_Lure_69.bmp,0,0,3
44,1,55,NA,NA,NA,1,0.22214,NA,NA,S_Lure_55.bmp,0,0,3
45,1,33,NA,NA,NA,1,0.24776,NA,NA,O_Image_33.bmp,1,1,2
46,1,8,NA,NA,NA,1,0.2091,NA,NA,F_Image_8.bmp,1,0,1
47,1,17,NA,NA,NA,1,0.37237,NA,NA,F_Image_17.bmp,1,0,1
48,1,34,NA,NA,NA,1,0.35298,NA,NA,O_Image_34.bmp,1,0,2
49,1,2,NA,NA,NA,1,0.28644,NA,NA,F_Lure_2.bmp,0,0,1
50,1,63,NA,NA,NA,1,0.23841,NA,NA,S_Image_63.bmp,1,1,3
51,1,64,NA,NA,NA,1,0.26314,NA,NA,S_Lure_64.bmp,0,0,3
52,1,1,NA,NA,NA,1,0.34386,NA,NA,F_Image_1.bmp,2,0,1
53,1,55,NA,NA,NA,1,0.35722,NA,NA,S_Image_55.bmp,1,0,3
54,1,61,NA,NA,NA,1,0.28321,NA,NA,S_Lure_61.bmp,0,0,3
55,1,46,NA,NA,NA,1,0.30812,NA,NA,O_Lure_46.bmp,0,0,2
56,1,54,NA,NA,NA,1,0.5868,NA,NA,S_Image_54.bmp,1,0,3
57,1,50,NA,NA,NA,1,0.468,NA,NA,S_Lure_50.bmp,0,1,3
58,1,26,NA,NA,NA,1,0.2454,NA,NA,O_Image_26.bmp,2,0,2
59,1,52,NA,NA,NA,1,0.43717,NA,NA,S_Lure_52.bmp,0,1,3
60,1,70,NA,NA,NA,1,0.40898,NA,NA,S_Lure_70.bmp,0,1,3
61,1,35,NA,NA,NA,1,0.33435,NA,NA,O_Image_35.bmp,1,1,2
62,1,19,NA,NA,NA,1,0.24492,NA,NA,F_Image_19.bmp,1,0,1
63,1,56,NA,NA,NA,1,0.65685,NA,NA,S_Lure_56.bmp,0,1,3
64,1,41,NA,NA,NA,1,0.34764,NA,NA,O_Lure_41.bmp,0,1,2
65,1,16,NA,NA,NA,1,0.44978,NA,NA,F_Image_16.bmp,1,1,1
66,1,23,NA,NA,NA,1,0.61167,NA,NA,F_Image_23.bmp,2,0,1
67,1,40,NA,NA,NA,1,0.59237,NA,NA,O_Lure_40.bmp,0,1,2
68,1,46,NA,NA,NA,1,0.56515,NA,NA,O_Image_46.bmp,2,0,2
69,1,9,NA,NA,NA,1,0.29924,NA,NA,F_Image_9.bmp,2,1,1
70,1,24,NA,NA,NA,1,0.43649,NA,NA,F_Lure_24.bmp,0,0,1
71,1,8,NA,NA,NA,1,0.26476,NA,NA,F_Lure_8.bmp,0,0,1
72,1,43,NA,NA,NA,1,0.39554,NA,NA,O_Image_43.bmp,2,0,2
73,1,51,NA,NA,NA,1,0.30402,NA,NA,S_Image_51.bmp,1,1,3
74,1,63,NA,NA,NA,1,0.24814,NA,NA,S_Lure_63.bmp,0,1,3
75,1,19,NA,NA,NA,1,0.00011772,NA,NA,F_Lure_19.bmp,0,0,1
76,1,69,NA,NA,NA,1,0.00012225,NA,NA,S_Image_69.bmp,1,0,3
77,1,7,NA,NA,NA,1,0.15348,NA,NA,F_Lure_7.bmp,0,1,1
78,1,23,NA,NA,NA,1,0.11883,NA,NA,F_Lure_23.bmp,0,0,1
79,1,36,NA,NA,NA,1,3.4627,NA,NA,O_Image_36.bmp,2,1,2
80,1,36,NA,NA,NA,1,0.40021,NA,NA,O_Lure_36.bmp,0,1,2
81,1,49,NA,NA,NA,1,1.1804,NA,NA,S_Image_49.bmp,2,0,3
82,1,29,NA,NA,NA,1,0.97766,NA,NA,O_Lure_29.bmp,0,1,2
83,1,51,NA,NA,NA,1,0.68038,NA,NA,S_Lure_51.bmp,0,1,3
84,1,48,NA,NA,NA,1,0.70723,NA,NA,O_Image_48.bmp,2,0,2
85,1,71,NA,NA,NA,1,0.38846,NA,NA,S_Lure_71.bmp,0,0,3
86,1,4,NA,NA,NA,1,0.50579,NA,NA,F_Image_4.bmp,2,1,1
87,1,14,NA,NA,NA,1,0.58671,NA,NA,F_Lure_14.bmp,0,0,1
88,1,44,NA,NA,NA,1,0.55922,NA,NA,O_Image_44.bmp,2,1,2
89,1,6,NA,NA,NA,1,0.55734,NA,NA,F_Image_6.bmp,1,0,1
90,1,27,NA,NA,NA,1,0.46735,NA,NA,O_Image_27.bmp,2,0,2
91,1,29,NA,NA,NA,1,0.38803,NA,NA,O_Image_29.bmp,2,1,2
92,1,10,NA,NA,NA,1,0.39286,NA,NA,F_Lure_10.bmp,0,1,1
93,1,11,NA,NA,NA,1,0.37972,NA,NA,F_Lure_11.bmp,0,0,1
94,1,5,NA,NA,NA,1,0.42423,NA,NA,F_Image_5.bmp,1,0,1
95,1,52,NA,NA,NA,1,0.26687,NA,NA,S_Image_52.bmp,2,1,3
96,1,54,NA,NA,NA,1,0.39555,NA,NA,S_Lure_54.bmp,0,0,3
97,1,38,NA,NA,NA,1,0.35217,NA,NA,O_Lure_38.bmp,0,0,2
98,1,68,NA,NA,NA,1,0.38968,NA,NA,S_Image_68.bmp,1,0,3
99,1,53,NA,NA,NA,1,0.36251,NA,NA,S_Lure_53.bmp,0,1,3
100,1,35,NA,NA,NA,1,0.3197,NA,NA,O_Lure_35.bmp,0,1,2
101,1,53,NA,NA,NA,1,0.00011832,NA,NA,S_Image_53.bmp,2,1,3
102,1,64,NA,NA,NA,1,0.21585,NA,NA,S_Image_64.bmp,2,0,3
103,1,26,NA,NA,NA,1,0.18056,NA,NA,O_Lure_26.bmp,0,0,2
104,1,3,NA,NA,NA,1,0.27591,NA,NA,F_Lure_3.bmp,0,1,1
105,1,30,NA,NA,NA,1,0.00013281,NA,NA,O_Image_30.bmp,1,0,2
106,1,22,NA,NA,NA,1,0.32463,NA,NA,F_Lure_22.bmp,0,1,1
107,1,71,NA,NA,NA,1,1.5866,NA,NA,S_Image_71.bmp,2,0,3
108,1,66,NA,NA,NA,1,0.00011772,NA,NA,S_Image_66.bmp,2,1,3
109,1,33,NA,NA,NA,1,0.00014941,NA,NA,O_Lure_33.bmp,0,1,2
110,1,42,NA,NA,NA,1,0.75687,NA,NA,O_Image_42.bmp,1,1,2
111,1,68,NA,NA,NA,1,0.41882,NA,NA,S_Lure_68.bmp,0,0,3
112,1,6,NA,NA,NA,1,0.048338,NA,NA,F_Lure_6.bmp,0,0,1
113,1,70,NA,NA,NA,1,0.25218,NA,NA,S_Image_70.bmp,1,1,3
114,1,60,NA,NA,NA,1,0.27032,NA,NA,S_Image_60.bmp,1,1,3
115,1,39,NA,NA,NA,1,0.46448,NA,NA,O_Lure_39.bmp,0,0,2
116,1,39,NA,NA,NA,1,0.24375,NA,NA,O_Image_39.bmp,2,0,2
117,1,48,NA,NA,NA,1,0.27969,NA,NA,O_Lure_48.bmp,0,0,2
118,1,13,NA,NA,NA,1,0.49774,NA,NA,F_Lure_13.bmp,0,1,1
119,1,32,NA,NA,NA,1,0.24387,NA,NA,O_Lure_32.bmp,0,0,2
120,1,31,NA,NA,NA,1,0.37726,NA,NA,O_Lure_31.bmp,0,1,2
121,1,42,NA,NA,NA,1,0.077223,NA,NA,O_Lure_42.bmp,0,1,2
122,1,47,NA,NA,NA,1,0.21463,NA,NA,O_Lure_47.bmp,0,1,2
123,1,11,NA,NA,NA,1,0.48265,NA,NA,F_Image_11.bmp,1,0,1
124,1,12,NA,NA,NA,1,0.98876,NA,NA,F_Lure_12.bmp,0,0,1
125,1,3,NA,NA,NA,1,1.0681,NA,NA,F_Image_3.bmp,1,1,1
126,1,58,NA,NA,NA,1,0.96546,NA,NA,S_Image_58.bmp,1,1,3
127,1,17,NA,NA,NA,1,0.89278,NA,NA,F_Lure_17.bmp,0,0,1
128,1,1,NA,NA,NA,1,0.81627,NA,NA,F_Lure_1.bmp,0,0,1
129,1,72,NA,NA,NA,1,0.45491,NA,NA,S_Image_72.bmp,1,0,3
