Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,57,NA,NA,NA,1,2.4191,NA,NA,S_Lure_57.bmp,0,1,3
2,1,18,NA,NA,NA,1,0.86054,NA,NA,F_Lure_18.bmp,0,1,1
3,1,40,NA,NA,NA,1,0.49333,NA,NA,O_Image_40.bmp,1,1,2
4,1,5,NA,NA,NA,1,0.57222,NA,NA,F_Lure_5.bmp,0,0,1
5,1,57,NA,NA,NA,1,1.7673,NA,NA,S_Image_57.bmp,2,1,3
6,1,27,NA,NA,NA,1,0.45219,NA,NA,O_Lure_27.bmp,0,0,2
7,1,67,NA,NA,NA,1,1.3562,NA,NA,S_Lure_67.bmp,0,1,3
8,1,25,NA,NA,NA,1,0.61225,NA,NA,O_Lure_25.bmp,0,0,2
9,1,49,NA,NA,NA,1,0.39893,NA,NA,S_Lure_49.bmp,0,0,3
10,1,28,NA,NA,NA,2,1.4017,NA,NA,O_Lure_28.bmp,0,1,2
11,1,43,NA,NA,NA,1,0.7491,NA,NA,O_Lure_43.bmp,0,0,2
12,1,37,NA,NA,NA,1,0.44388,NA,NA,O_Image_37.bmp,2,1,2
13,1,30,NA,NA,NA,1,0.00011832,NA,NA,O_Lure_30.bmp,0,0,2
14,1,61,NA,NA,NA,1,0.56465,NA,NA,S_Image_61.bmp,2,0,3
15,1,60,NA,NA,NA,2,1.3759,NA,NA,S_Lure_60.bmp,0,1,3
16,1,67,NA,NA,NA,2,0.028649,NA,NA,S_Image_67.bmp,2,1,3
17,1,24,NA,NA,NA,1,0.20884,NA,NA,F_Image_24.bmp,2,0,1
18,1,32,NA,NA,NA,1,0.77668,NA,NA,O_Image_32.bmp,1,0,2
19,1,44,NA,NA,NA,1,0.15601,NA,NA,O_Lure_44.bmp,0,1,2
20,1,65,NA,NA,NA,1,0.41904,NA,NA,S_Image_65.bmp,2,1,3
21,1,34,NA,NA,NA,2,0.52614,NA,NA,O_Lure_34.bmp,0,0,2
22,1,59,NA,NA,NA,1,0.44423,NA,NA,S_Lure_59.bmp,0,0,3
23,1,20,NA,NA,NA,1,0.20568,NA,NA,F_Lure_20.bmp,0,1,1
24,1,14,NA,NA,NA,1,0.44971,NA,NA,F_Image_14.bmp,1,0,1
25,1,45,NA,NA,NA,1,0.37186,NA,NA,O_Lure_45.bmp,0,1,2
26,1,15,NA,NA,NA,1,0.37724,NA,NA,F_Lure_15.bmp,0,0,1
27,1,20,NA,NA,NA,1,0.00011953,NA,NA,F_Image_20.bmp,2,1,1
28,1,12,NA,NA,NA,1,0.89256,NA,NA,F_Image_12.bmp,2,0,1
29,1,4,NA,NA,NA,1,0.53937,NA,NA,F_Lure_4.bmp,0,1,1
30,1,62,NA,NA,NA,1,0.37802,NA,NA,S_Lure_62.bmp,0,0,3
31,1,7,NA,NA,NA,1,0.46212,NA,NA,F_Image_7.bmp,1,1,1
32,1,31,NA,NA,NA,1,0.31613,NA,NA,O_Image_31.bmp,2,1,2
33,1,13,NA,NA,NA,1,0.42806,NA,NA,F_Image_13.bmp,2,1,1
34,1,15,NA,NA,NA,1,0.031478,NA,NA,F_Image_15.bmp,2,0,1
35,1,10,NA,NA,NA,1,0.54625,NA,NA,F_Image_10.bmp,2,1,1
36,1,50,NA,NA,NA,1,0.29563,NA,NA,S_Image_50.bmp,2,1,3
37,1,45,NA,NA,NA,1,0.20905,NA,NA,O_Image_45.bmp,1,1,2
38,1,16,NA,NA,NA,1,0.41231,NA,NA,F_Lure_16.bmp,0,1,1
39,1,25,NA,NA,NA,1,0.4571,NA,NA,O_Image_25.bmp,2,0,2
40,1,62,NA,NA,NA,1,0.28339,NA,NA,S_Image_62.bmp,1,0,3
41,1,28,NA,NA,NA,1,0.33124,NA,NA,O_Image_28.bmp,1,1,2
42,1,38,NA,NA,NA,1,0.8725,NA,NA,O_Image_38.bmp,1,0,2
43,1,69,NA,NA,NA,1,0.76196,NA,NA,S_Lure_69.bmp,0,0,3
44,1,55,NA,NA,NA,1,2.1061,NA,NA,S_Lure_55.bmp,0,0,3
45,1,33,NA,NA,NA,1,0.63411,NA,NA,O_Image_33.bmp,1,1,2
46,1,8,NA,NA,NA,1,0.61214,NA,NA,F_Image_8.bmp,1,0,1
47,1,17,NA,NA,NA,1,0.4954,NA,NA,F_Image_17.bmp,1,0,1
48,1,34,NA,NA,NA,1,0.49686,NA,NA,O_Image_34.bmp,1,0,2
49,1,2,NA,NA,NA,1,0.86234,NA,NA,F_Lure_2.bmp,0,0,1
50,1,63,NA,NA,NA,1,0.52099,NA,NA,S_Image_63.bmp,1,1,3
51,1,64,NA,NA,NA,1,1.6709,NA,NA,S_Lure_64.bmp,0,0,3
52,1,1,NA,NA,NA,1,0.096366,NA,NA,F_Image_1.bmp,2,0,1
