Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,57,NA,NA,NA,1,1.6738,NA,NA,S_Lure_57.bmp,0,1,3
2,1,18,NA,NA,NA,1,1.4276,NA,NA,F_Lure_18.bmp,0,1,1
3,1,40,NA,NA,NA,1,1.1605,NA,NA,O_Image_40.bmp,1,1,2
4,1,5,NA,NA,NA,1,0.94049,NA,NA,F_Lure_5.bmp,0,0,1
5,1,57,NA,NA,NA,1,1.0432,NA,NA,S_Image_57.bmp,2,1,3
6,1,27,NA,NA,NA,1,1.0679,NA,NA,O_Lure_27.bmp,0,0,2
7,1,67,NA,NA,NA,1,2.0454,NA,NA,S_Lure_67.bmp,0,1,3
8,1,25,NA,NA,NA,1,1.5034,NA,NA,O_Lure_25.bmp,0,0,2
9,1,49,NA,NA,NA,1,1.3649,NA,NA,S_Lure_49.bmp,0,0,3
10,1,28,NA,NA,NA,1,0.69768,NA,NA,O_Lure_28.bmp,0,1,2
11,1,43,NA,NA,NA,1,1.161,NA,NA,O_Lure_43.bmp,0,0,2
12,1,37,NA,NA,NA,1,1.2465,NA,NA,O_Image_37.bmp,2,1,2
13,1,30,NA,NA,NA,1,1.0546,NA,NA,O_Lure_30.bmp,0,0,2
14,1,61,NA,NA,NA,1,1.6532,NA,NA,S_Image_61.bmp,2,0,3
15,1,60,NA,NA,NA,1,1.3913,NA,NA,S_Lure_60.bmp,0,1,3
16,1,67,NA,NA,NA,1,1.2834,NA,NA,S_Image_67.bmp,2,1,3
17,1,24,NA,NA,NA,1,1.4754,NA,NA,F_Image_24.bmp,2,0,1
18,1,32,NA,NA,NA,1,0.62811,NA,NA,O_Image_32.bmp,1,0,2
19,1,44,NA,NA,NA,1,0.35823,NA,NA,O_Lure_44.bmp,0,1,2
20,1,65,NA,NA,NA,1,3.9306,NA,NA,S_Image_65.bmp,2,1,3
21,1,34,NA,NA,NA,1,0.32304,NA,NA,O_Lure_34.bmp,0,0,2
22,1,59,NA,NA,NA,1,2.4017,NA,NA,S_Lure_59.bmp,0,0,3
23,1,20,NA,NA,NA,1,1.8205,NA,NA,F_Lure_20.bmp,0,1,1
24,1,14,NA,NA,NA,1,1.5186,NA,NA,F_Image_14.bmp,1,0,1
25,1,45,NA,NA,NA,1,1.6518,NA,NA,O_Lure_45.bmp,0,1,2
26,1,15,NA,NA,NA,1,1.0067,NA,NA,F_Lure_15.bmp,0,0,1
27,1,20,NA,NA,NA,1,2.024,NA,NA,F_Image_20.bmp,2,1,1
28,1,12,NA,NA,NA,1,6.1625,NA,NA,F_Image_12.bmp,2,0,1
29,1,4,NA,NA,NA,2,20.4471,NA,NA,F_Lure_4.bmp,0,1,1
30,1,62,NA,NA,NA,1,1.556,NA,NA,S_Lure_62.bmp,0,0,3
31,1,7,NA,NA,NA,1,0.72076,NA,NA,F_Image_7.bmp,1,1,1
32,1,31,NA,NA,NA,1,0.37471,NA,NA,O_Image_31.bmp,2,1,2
33,1,13,NA,NA,NA,1,0.00011802,NA,NA,F_Image_13.bmp,2,1,1
34,1,15,NA,NA,NA,1,0.52163,NA,NA,F_Image_15.bmp,2,0,1
35,1,10,NA,NA,NA,1,0.34349,NA,NA,F_Image_10.bmp,2,1,1
36,1,50,NA,NA,NA,1,1.2536,NA,NA,S_Image_50.bmp,2,1,3
37,1,45,NA,NA,NA,1,0.44635,NA,NA,O_Image_45.bmp,1,1,2
38,1,16,NA,NA,NA,1,0.63181,NA,NA,F_Lure_16.bmp,0,1,1
39,1,25,NA,NA,NA,1,2.267,NA,NA,O_Image_25.bmp,2,0,2
40,1,62,NA,NA,NA,1,1.0764,NA,NA,S_Image_62.bmp,1,0,3
41,1,28,NA,NA,NA,1,0.00012406,NA,NA,O_Image_28.bmp,1,1,2
42,1,38,NA,NA,NA,1,0.18198,NA,NA,O_Image_38.bmp,1,0,2
43,1,69,NA,NA,NA,1,0.53266,NA,NA,S_Lure_69.bmp,0,0,3
44,1,55,NA,NA,NA,1,0.3481,NA,NA,S_Lure_55.bmp,0,0,3
45,1,33,NA,NA,NA,1,0.42603,NA,NA,O_Image_33.bmp,1,1,2
46,1,8,NA,NA,NA,1,0.44427,NA,NA,F_Image_8.bmp,1,0,1
47,1,17,NA,NA,NA,1,1.0529,NA,NA,F_Image_17.bmp,1,0,1
48,1,34,NA,NA,NA,1,0.46167,NA,NA,O_Image_34.bmp,1,0,2
49,1,2,NA,NA,NA,1,0.30425,NA,NA,F_Lure_2.bmp,0,0,1
50,1,63,NA,NA,NA,1,1.4556,NA,NA,S_Image_63.bmp,1,1,3
51,1,64,NA,NA,NA,1,1.1365,NA,NA,S_Lure_64.bmp,0,0,3
52,1,1,NA,NA,NA,1,1.2631,NA,NA,F_Image_1.bmp,2,0,1
53,1,55,NA,NA,NA,1,0.94246,NA,NA,S_Image_55.bmp,1,0,3
54,1,61,NA,NA,NA,1,1.8523,NA,NA,S_Lure_61.bmp,0,0,3
55,1,46,NA,NA,NA,1,0.3408,NA,NA,O_Lure_46.bmp,0,0,2
56,1,54,NA,NA,NA,1,0.82538,NA,NA,S_Image_54.bmp,1,0,3
57,1,50,NA,NA,NA,1,0.80427,NA,NA,S_Lure_50.bmp,0,1,3
58,1,26,NA,NA,NA,1,0.00012104,NA,NA,O_Image_26.bmp,2,0,2
59,1,52,NA,NA,NA,1,1.0508,NA,NA,S_Lure_52.bmp,0,1,3
60,1,70,NA,NA,NA,1,0.66906,NA,NA,S_Lure_70.bmp,0,1,3
61,1,35,NA,NA,NA,1,0.33366,NA,NA,O_Image_35.bmp,1,1,2
62,1,19,NA,NA,NA,1,0.46596,NA,NA,F_Image_19.bmp,1,0,1
63,1,56,NA,NA,NA,1,0.71371,NA,NA,S_Lure_56.bmp,0,1,3
64,1,41,NA,NA,NA,1,0.32575,NA,NA,O_Lure_41.bmp,0,1,2
65,1,16,NA,NA,NA,1,1.4025,NA,NA,F_Image_16.bmp,1,1,1
66,1,23,NA,NA,NA,1,1.3325,NA,NA,F_Image_23.bmp,2,0,1
67,1,40,NA,NA,NA,1,0.6332,NA,NA,O_Lure_40.bmp,0,1,2
68,1,46,NA,NA,NA,1,0.23483,NA,NA,O_Image_46.bmp,2,0,2
69,1,9,NA,NA,NA,1,0.71678,NA,NA,F_Image_9.bmp,2,1,1
70,1,24,NA,NA,NA,1,0.44982,NA,NA,F_Lure_24.bmp,0,0,1
71,1,8,NA,NA,NA,1,0.6428,NA,NA,F_Lure_8.bmp,0,0,1
72,1,43,NA,NA,NA,1,1.4514,NA,NA,O_Image_43.bmp,2,0,2
73,1,51,NA,NA,NA,1,0.66837,NA,NA,S_Image_51.bmp,1,1,3
74,1,63,NA,NA,NA,1,0.79631,NA,NA,S_Lure_63.bmp,0,1,3
75,1,19,NA,NA,NA,1,0.69568,NA,NA,F_Lure_19.bmp,0,0,1
76,1,69,NA,NA,NA,1,0.39109,NA,NA,S_Image_69.bmp,1,0,3
77,1,7,NA,NA,NA,1,0.4745,NA,NA,F_Lure_7.bmp,0,1,1
78,1,23,NA,NA,NA,1,1.7151,NA,NA,F_Lure_23.bmp,0,0,1
79,1,36,NA,NA,NA,1,0.31331,NA,NA,O_Image_36.bmp,2,1,2
80,1,36,NA,NA,NA,1,0.59868,NA,NA,O_Lure_36.bmp,0,1,2
81,1,49,NA,NA,NA,1,0.6487,NA,NA,S_Image_49.bmp,2,0,3
82,1,29,NA,NA,NA,1,0.36011,NA,NA,O_Lure_29.bmp,0,1,2
83,1,51,NA,NA,NA,1,0.6281,NA,NA,S_Lure_51.bmp,0,1,3
84,1,48,NA,NA,NA,1,0.32617,NA,NA,O_Image_48.bmp,2,0,2
85,1,71,NA,NA,NA,1,0.50809,NA,NA,S_Lure_71.bmp,0,0,3
86,1,4,NA,NA,NA,1,0.4089,NA,NA,F_Image_4.bmp,2,1,1
87,1,14,NA,NA,NA,1,1.1483,NA,NA,F_Lure_14.bmp,0,0,1
88,1,44,NA,NA,NA,1,0.40924,NA,NA,O_Image_44.bmp,2,1,2
89,1,6,NA,NA,NA,1,0.41993,NA,NA,F_Image_6.bmp,1,0,1
90,1,27,NA,NA,NA,1,0.29387,NA,NA,O_Image_27.bmp,2,0,2
91,1,29,NA,NA,NA,1,1.0526,NA,NA,O_Image_29.bmp,2,1,2
92,1,10,NA,NA,NA,1,0.89122,NA,NA,F_Lure_10.bmp,0,1,1
93,1,11,NA,NA,NA,1,0.89139,NA,NA,F_Lure_11.bmp,0,0,1
94,1,5,NA,NA,NA,1,0.8907,NA,NA,F_Image_5.bmp,1,0,1
95,1,52,NA,NA,NA,1,1.5721,NA,NA,S_Image_52.bmp,2,1,3
96,1,54,NA,NA,NA,1,0.68919,NA,NA,S_Lure_54.bmp,0,0,3
97,1,38,NA,NA,NA,1,0.72753,NA,NA,O_Lure_38.bmp,0,0,2
98,1,68,NA,NA,NA,1,1.4156,NA,NA,S_Image_68.bmp,1,0,3
99,1,53,NA,NA,NA,1,1.3291,NA,NA,S_Lure_53.bmp,0,1,3
100,1,35,NA,NA,NA,1,0.53504,NA,NA,O_Lure_35.bmp,0,1,2
101,1,53,NA,NA,NA,1,1.1665,NA,NA,S_Image_53.bmp,2,1,3
102,1,64,NA,NA,NA,1,0.9251,NA,NA,S_Image_64.bmp,2,0,3
103,1,26,NA,NA,NA,1,3.269,NA,NA,O_Lure_26.bmp,0,0,2
104,1,3,NA,NA,NA,1,1.3586,NA,NA,F_Lure_3.bmp,0,1,1
