Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,57,NA,NA,NA,1,4.6592,NA,NA,S_Lure_57.bmp,0,1,3
2,1,18,NA,NA,NA,1,2.7658,NA,NA,F_Lure_18.bmp,0,1,1
3,1,40,NA,NA,NA,1,2.3572,NA,NA,O_Image_40.bmp,1,1,2
4,1,5,NA,NA,NA,1,3.0199,NA,NA,F_Lure_5.bmp,0,0,1
5,1,57,NA,NA,NA,1,3.1279,NA,NA,S_Image_57.bmp,2,1,3
6,1,27,NA,NA,NA,1,1.5122,NA,NA,O_Lure_27.bmp,0,0,2
7,1,67,NA,NA,NA,2,1.7055,NA,NA,S_Lure_67.bmp,0,1,3
8,1,25,NA,NA,NA,1,3.4114,NA,NA,O_Lure_25.bmp,0,0,2
9,1,49,NA,NA,NA,1,2.7523,NA,NA,S_Lure_49.bmp,0,0,3
10,1,28,NA,NA,NA,1,2.3049,NA,NA,O_Lure_28.bmp,0,1,2
11,1,43,NA,NA,NA,1,2.2916,NA,NA,O_Lure_43.bmp,0,0,2
12,1,37,NA,NA,NA,1,1.6931,NA,NA,O_Image_37.bmp,2,1,2
13,1,30,NA,NA,NA,1,1.094,NA,NA,O_Lure_30.bmp,0,0,2
14,1,61,NA,NA,NA,2,2.3272,NA,NA,S_Image_61.bmp,2,0,3
15,1,60,NA,NA,NA,1,1.9753,NA,NA,S_Lure_60.bmp,0,1,3
16,1,67,NA,NA,NA,1,1.518,NA,NA,S_Image_67.bmp,2,1,3
17,1,24,NA,NA,NA,1,1.7681,NA,NA,F_Image_24.bmp,2,0,1
18,1,32,NA,NA,NA,1,1.0154,NA,NA,O_Image_32.bmp,1,0,2
19,1,44,NA,NA,NA,1,0.79685,NA,NA,O_Lure_44.bmp,0,1,2
20,1,65,NA,NA,NA,1,1.481,NA,NA,S_Image_65.bmp,2,1,3
21,1,34,NA,NA,NA,1,0.69224,NA,NA,O_Lure_34.bmp,0,0,2
22,1,59,NA,NA,NA,1,2.5429,NA,NA,S_Lure_59.bmp,0,0,3
23,1,20,NA,NA,NA,1,1.5045,NA,NA,F_Lure_20.bmp,0,1,1
24,1,14,NA,NA,NA,1,1.0184,NA,NA,F_Image_14.bmp,1,0,1
25,1,45,NA,NA,NA,1,0.89532,NA,NA,O_Lure_45.bmp,0,1,2
26,1,15,NA,NA,NA,1,0.95392,NA,NA,F_Lure_15.bmp,0,0,1
27,1,20,NA,NA,NA,1,1.2579,NA,NA,F_Image_20.bmp,2,1,1
28,1,12,NA,NA,NA,1,0.51061,NA,NA,F_Image_12.bmp,2,0,1
29,1,4,NA,NA,NA,1,1.6326,NA,NA,F_Lure_4.bmp,0,1,1
30,1,62,NA,NA,NA,1,2.2286,NA,NA,S_Lure_62.bmp,0,0,3
31,1,7,NA,NA,NA,1,2.052,NA,NA,F_Image_7.bmp,1,1,1
32,1,31,NA,NA,NA,1,1.3677,NA,NA,O_Image_31.bmp,2,1,2
33,1,13,NA,NA,NA,1,1.8809,NA,NA,F_Image_13.bmp,2,1,1
34,1,15,NA,NA,NA,1,3.9082,NA,NA,F_Image_15.bmp,2,0,1
35,1,10,NA,NA,NA,1,2.0143,NA,NA,F_Image_10.bmp,2,1,1
36,1,50,NA,NA,NA,1,1.7411,NA,NA,S_Image_50.bmp,2,1,3
37,1,45,NA,NA,NA,1,1.0138,NA,NA,O_Image_45.bmp,1,1,2
38,1,16,NA,NA,NA,1,0.9638,NA,NA,F_Lure_16.bmp,0,1,1
39,1,25,NA,NA,NA,1,0.52269,NA,NA,O_Image_25.bmp,2,0,2
40,1,62,NA,NA,NA,1,0.29936,NA,NA,S_Image_62.bmp,1,0,3
41,1,28,NA,NA,NA,1,0.71867,NA,NA,O_Image_28.bmp,1,1,2
42,1,38,NA,NA,NA,1,0.89809,NA,NA,O_Image_38.bmp,1,0,2
43,1,69,NA,NA,NA,1,0.64475,NA,NA,S_Lure_69.bmp,0,0,3
44,1,55,NA,NA,NA,1,0.44215,NA,NA,S_Lure_55.bmp,0,0,3
45,1,33,NA,NA,NA,1,1.0148,NA,NA,O_Image_33.bmp,1,1,2
46,1,8,NA,NA,NA,1,0.00011229,NA,NA,F_Image_8.bmp,1,0,1
47,1,17,NA,NA,NA,1,0.84432,NA,NA,F_Image_17.bmp,1,0,1
48,1,34,NA,NA,NA,1,2.4176,NA,NA,O_Image_34.bmp,1,0,2
49,1,2,NA,NA,NA,1,1.6938,NA,NA,F_Lure_2.bmp,0,0,1
50,1,63,NA,NA,NA,1,0.6491,NA,NA,S_Image_63.bmp,1,1,3
51,1,64,NA,NA,NA,1,2.7964,NA,NA,S_Lure_64.bmp,0,0,3
52,1,1,NA,NA,NA,1,2.2264,NA,NA,F_Image_1.bmp,2,0,1
53,1,55,NA,NA,NA,1,0.00012074,NA,NA,S_Image_55.bmp,1,0,3
